"","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-corporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
"democrat",0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0
"democrat",1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,NA
"democrat",1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,NA
"democrat",0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1
"republican",0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
"democrat",1,1,1,0,NA,1,1,1,0,1,NA,NA,0,0,1,1
"democrat",1,1,1,0,NA,0,1,1,1,1,0,0,0,0,1,NA
"democrat",0,1,1,1,1,1,0,0,0,0,1,1,NA,1,0,0
"democrat",0,1,1,NA,1,1,0,1,0,1,NA,0,1,1,NA,1
"republican",0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
"democrat",0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0
"democrat",1,NA,1,0,0,0,1,1,1,0,1,0,0,0,1,1
"republican",0,1,0,1,1,1,NA,NA,0,0,NA,NA,1,NA,NA,NA
"republican",0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
"republican",0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
"democrat",1,1,1,0,0,1,NA,1,1,0,1,0,1,0,1,1
"democrat",1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,NA
"democrat",1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,NA
"democrat",1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1
"democrat",1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
"democrat",1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0
"democrat",0,NA,1,0,1,1,0,1,0,0,1,0,0,0,0,NA
"democrat",1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,NA
"democrat",0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,NA
"democrat",1,0,1,0,0,0,1,1,1,NA,1,0,0,0,1,NA
"democrat",NA,NA,0,0,NA,1,NA,0,0,0,1,1,0,1,0,NA
"democrat",1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
"republican",1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1
"republican",NA,NA,NA,NA,0,1,0,1,1,0,0,1,1,0,0,NA
"democrat",1,1,NA,NA,NA,1,0,0,0,0,1,0,1,0,0,1
"democrat",1,1,1,NA,0,0,0,1,0,0,1,NA,0,0,1,1
"democrat",1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1
"democrat",1,1,0,0,1,NA,0,0,0,0,1,0,1,1,0,1
"democrat",0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
"republican",0,1,0,1,NA,1,0,0,0,1,0,1,1,1,0,0
"republican",0,1,0,1,1,1,0,NA,0,0,NA,NA,NA,1,0,NA
"republican",0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
"republican",NA,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1
"republican",0,1,0,1,1,1,0,0,0,1,0,1,NA,1,0,0
"republican",1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
"republican",0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
"democrat",1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
"democrat",0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
"democrat",1,0,1,0,0,1,1,1,1,0,0,1,NA,1,1,1
"republican",0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
"republican",0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1
"democrat",1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1
"republican",0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
"republican",1,1,1,1,1,1,1,1,0,1,NA,NA,NA,1,0,1
"democrat",1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
"democrat",0,1,1,0,0,1,1,1,NA,1,0,0,0,0,0,1
"republican",1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1
"democrat",1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1
"democrat",1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1
"democrat",1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
"republican",1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
"democrat",0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1
"democrat",0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1
"democrat",0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1
"democrat",0,1,1,0,0,NA,1,1,1,1,1,0,NA,1,1,1
"democrat",0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,NA
"democrat",1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
"republican",0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1
"democrat",NA,NA,NA,0,0,0,1,1,1,1,0,0,1,0,1,1
"democrat",1,0,1,0,NA,0,1,1,1,1,0,1,0,NA,1,1
"republican",0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1
"democrat",0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
"republican",0,NA,0,1,1,1,0,0,0,0,1,1,1,1,0,1
"republican",0,0,0,1,1,1,NA,NA,NA,NA,0,1,1,1,0,1
"republican",0,1,0,1,1,1,0,0,0,1,0,1,1,1,NA,0
